,documents
0,"laptop, mouse, keyboard, jacket, yoga mat"
1,"coffee cup, mouse, jacket, bag"
2,"bag, laptop, scarf, shoes, pants"
3,"climbing shoes, coffee cup, window, lecture hall"
4,"lecture hall, scarf, jacket, floor, man"
5,"bin, headphones, coffee, door"
6,"lecture hall, scarf, jacket, floor, man, woman"
7,"university, chair, school, rain, window"
8,"woman, man, child, sister, brother, pants"
9,"woman, man, child, sister, brother, lecture hall"
10,"laptop, mouse, jacket, yoga mat, keyboard"
11,"coffee cup, jacket"
12,laptop
13,"scarf, floor, roof, window, chair"
14,"hair, heart, table, bag, backpack, sleeping bag"
15,"sleeping bag, mattress, pillow, bed, tent"
16,"mattress, pillow"
17,"coffee, yoga, lecture"
18,"cat, dog, horse, unicorn, xenia, bas"
